clusterindex,Longitude,Latitude,SOG,COG
0,-43.114,-22.863,19.0,107.2
0,-43.112,-22.871,19.0,107.2
0,-43.112,-22.871,19.0,107.2
0,-43.117,-22.864,19.0,107.2
0,-43.12,-22.879,20.3,101.4
0,-43.121,-22.878,22.6,101.7
1,-43.15,-23.027,13.0,240.0
1,-43.153,-23.028,13.0,240.0
1,-43.152,-23.028,13.0,240.0
1,-43.151,-23.026,13.0,240.0
1,-43.15,-23.03,13.0,240.0
1,-43.151,-23.026,15.2,236.0
1,-43.14,-23.03,11.9,234.0
1,-43.151,-23.027,12.9,228.0
2,-43.15,-22.85,8.9,202.0
2,-43.136,-22.846,10.0,193.0
2,-43.153,-22.834,10.8,192.5
2,-43.138,-22.831,5.1,196.0
2,-43.132,-22.865,5.1,196.0
2,-43.161,-22.858,4.2,204.0
2,-43.136,-22.841,8.1,206.0
2,-43.138,-22.835,8.1,206.0
2,-43.137,-22.835,8.1,206.0
2,-43.137,-22.835,8.1,206.0
2,-43.141,-22.851,3.7,188.0
2,-43.141,-22.85,3.7,188.0
2,-43.137,-22.856,1.9,185.0
2,-43.162,-22.857,3.7,188.0
2,-43.155,-22.849,8.2,181.0
2,-43.126,-22.873,2.7,196.0
2,-43.143,-22.833,1.8,189.0
2,-43.143,-22.838,2.7,196.0
2,-43.133,-22.863,2.7,196.0
2,-43.171,-22.833,12.7,186.0
2,-43.154,-22.839,11.9,191.9
2,-43.167,-22.86,9.0,177.0
2,-43.116,-22.882,10.0,193.0
2,-43.136,-22.878,11.2,183.6
2,-43.12,-22.881,8.9,202.0
2,-43.12,-22.881,8.9,202.0
2,-43.133,-22.877,11.2,183.6
2,-43.152,-22.882,6.5,181.0
2,-43.144,-22.85,11.4,181.0
2,-43.112,-22.865,4.7,194.4
2,-43.112,-22.865,4.5,198.3
2,-43.157,-22.811,7.0,204.1
2,-43.167,-22.863,2.7,207.0
2,-43.167,-22.863,2.7,207.0
2,-43.152,-22.821,3.2,178.0
2,-43.162,-22.895,8.2,179.6
3,-43.162,-22.9,5.8,244.1
3,-43.189,-22.888,6.8,253.4
3,-43.153,-22.876,8.7,250.5
3,-43.171,-22.903,6.0,247.6
3,-43.171,-22.903,6.0,247.6
3,-43.17,-22.902,3.9,245.0
3,-43.16,-22.892,8.0,248.1
3,-43.134,-22.846,9.8,278.0
3,-43.131,-22.847,6.0,284.0
3,-43.134,-22.846,9.8,278.0
3,-43.131,-22.847,6.0,284.0
3,-43.134,-22.848,9.8,278.0
3,-43.128,-22.826,7.9,269.2
3,-43.126,-22.873,8.2,285.0
3,-43.114,-22.864,13.8,273.8
3,-43.126,-22.873,8.4,290.0
3,-43.126,-22.873,8.4,290.0
3,-43.116,-22.864,3.6,284.0
3,-43.126,-22.873,10.0,289.0
3,-43.15,-22.903,6.2,271.0
3,-43.171,-22.903,8.8,275.7
3,-43.17,-22.902,4.9,263.3
3,-43.128,-22.894,6.9,279.3
3,-43.172,-22.903,11.1,262.0
3,-43.171,-22.903,11.1,262.0
3,-43.17,-22.902,7.5,277.1
3,-43.125,-22.894,10.2,262.8
3,-43.125,-22.894,10.2,262.8
3,-43.125,-22.894,9.8,260.5
3,-43.126,-22.894,9.8,260.5
3,-43.126,-22.894,9.8,260.5
3,-43.133,-22.894,12.4,250.9
3,-43.151,-22.899,10.8,255.9
3,-43.14,-22.897,11.4,261.0
3,-43.128,-22.893,10.4,253.4
3,-43.125,-22.894,10.4,253.4
3,-43.185,-22.891,3.9,260.0
3,-43.188,-22.888,3.7,256.6
3,-43.171,-22.903,11.2,257.7
3,-43.157,-22.896,10.2,256.8
3,-43.167,-22.902,13.0,257.8
3,-43.161,-22.883,12.5,247.0
3,-43.158,-22.897,11.7,256.0
3,-43.171,-22.902,11.9,256.7
3,-43.16,-22.898,11.6,250.2
3,-43.142,-22.851,3.9,260.0
3,-43.142,-22.851,3.9,260.0
3,-43.147,-22.835,5.7,268.0
3,-43.131,-22.878,1.1,258.0
3,-43.121,-22.878,8.7,250.5
3,-43.12,-22.88,10.4,246.0
3,-43.125,-22.894,8.7,250.5
3,-43.129,-22.865,10.7,244.0
3,-43.125,-22.894,8.0,248.1
3,-43.137,-22.878,8.8,242.9
3,-43.117,-22.88,5.0,284.0
3,-43.121,-22.879,8.6,276.9
3,-43.112,-22.87,3.6,256.4
3,-43.131,-22.866,6.2,241.0
3,-43.125,-22.873,2.1,250.0
3,-43.131,-22.864,3.7,250.0
3,-43.125,-22.894,3.9,245.0
3,-43.143,-22.853,5.4,301.0
3,-43.125,-22.876,6.0,295.1
3,-43.138,-22.811,10.2,277.0
3,-43.166,-22.862,10.2,245.0
3,-43.152,-22.89,4.2,282.2
3,-43.118,-22.882,4.5,272.0
3,-43.145,-22.84,10.4,246.0
3,-43.145,-22.84,10.4,246.0
3,-43.157,-22.873,4.8,285.1
3,-43.121,-22.878,14.9,278.7
4,-43.136,-22.878,18.0,45.5
4,-43.121,-22.878,18.0,45.5
4,-43.121,-22.878,18.0,45.5
4,-43.148,-22.902,15.9,41.0
4,-43.136,-22.853,16.0,54.8
4,-43.149,-22.882,13.1,54.0
4,-43.152,-22.837,12.3,64.0
5,-43.162,-22.823,12.9,224.0
5,-43.139,-22.839,10.8,225.0
5,-43.162,-22.823,11.0,227.0
5,-43.138,-22.836,9.8,226.8
5,-43.152,-22.821,11.3,226.0
5,-43.14,-22.844,10.9,227.7
5,-43.117,-22.821,9.8,233.8
6,-43.112,-22.87,3.6,256.4
6,-43.125,-22.873,2.1,250.0
6,-43.131,-22.864,3.7,250.0
6,-43.131,-22.878,1.1,258.0
6,-43.125,-22.894,8.0,248.1
6,-43.131,-22.866,6.2,241.0
6,-43.145,-22.84,10.4,246.0
6,-43.145,-22.84,10.4,246.0
6,-43.121,-22.878,8.7,250.5
6,-43.12,-22.88,10.4,246.0
6,-43.125,-22.894,8.7,250.5
6,-43.153,-22.876,8.7,250.5
6,-43.129,-22.865,10.7,244.0
6,-43.125,-22.894,3.9,245.0
6,-43.137,-22.878,8.8,242.9
7,-43.151,-22.911,6.2,339.0
7,-43.152,-22.906,6.2,339.0
7,-43.136,-22.884,7.3,335.0
7,-43.136,-22.884,7.3,335.0
7,-43.136,-22.884,7.3,335.0
7,-43.136,-22.884,7.3,335.0
7,-43.147,-22.904,10.4,341.0
7,-43.116,-22.882,6.6,349.0
7,-43.126,-22.877,7.6,346.6
7,-43.112,-22.871,10.1,343.9
7,-43.111,-22.87,5.1,358.0
7,-43.125,-22.894,10.2,350.8
7,-43.131,-22.869,7.6,340.6
7,-43.143,-22.848,10.0,348.0
7,-43.155,-22.851,9.6,352.9
7,-43.13,-22.846,13.4,344.0
7,-43.132,-22.844,6.6,349.0
7,-43.133,-22.823,10.1,343.9
7,-43.165,-22.854,10.4,350.0
7,-43.135,-22.837,12.1,351.0
7,-43.148,-22.839,6.5,351.0
7,-43.148,-22.839,6.5,351.0
7,-43.155,-22.843,7.4,356.1
7,-43.162,-22.823,6.0,358.0
7,-43.136,-22.856,4.9,359.0
7,-43.156,-22.862,8.3,359.8
7,-43.143,-22.836,9.6,325.0
7,-43.122,-22.87,6.7,329.3
7,-43.144,-22.865,8.4,334.0
7,-43.116,-22.864,7.8,327.0
7,-43.141,-22.846,11.1,334.0
7,-43.15,-22.846,13.1,334.0
7,-43.15,-22.846,13.1,334.0
7,-43.15,-22.846,13.1,334.0
7,-43.15,-22.846,13.1,334.0
7,-43.15,-22.845,13.1,334.0
7,-43.149,-22.846,13.1,334.0
7,-43.132,-22.865,13.1,334.0
7,-43.12,-22.882,9.2,325.6
7,-43.128,-22.837,13.0,336.0
7,-43.128,-22.837,13.0,336.0
7,-43.128,-22.837,13.0,336.0
7,-43.128,-22.838,13.0,336.0
7,-43.128,-22.838,13.0,336.0
7,-43.118,-22.881,9.2,325.6
7,-43.153,-22.821,10.9,359.0
7,-43.152,-22.816,10.0,329.2
7,-43.113,-22.864,16.0,327.1
7,-43.147,-22.905,6.6,349.0
8,-43.134,-22.846,9.8,278.0
8,-43.134,-22.846,9.8,278.0
8,-43.134,-22.848,9.8,278.0
8,-43.128,-22.826,7.9,269.2
8,-43.142,-22.851,3.9,260.0
8,-43.142,-22.851,3.9,260.0
8,-43.147,-22.835,5.7,268.0
8,-43.138,-22.811,10.2,277.0
9,-43.143,-22.836,9.6,325.0
9,-43.152,-22.816,10.0,329.2
9,-43.144,-22.865,8.4,334.0
9,-43.138,-22.811,7.8,327.0
9,-43.16,-22.859,11.4,322.0
9,-43.141,-22.846,11.1,334.0
9,-43.15,-22.846,13.1,334.0
9,-43.15,-22.846,13.1,334.0
9,-43.15,-22.846,13.1,334.0
9,-43.15,-22.846,13.1,334.0
9,-43.15,-22.845,13.1,334.0
9,-43.149,-22.846,13.1,334.0
9,-43.122,-22.87,6.7,329.3
9,-43.116,-22.864,7.8,327.0
9,-43.136,-22.884,7.3,335.0
9,-43.136,-22.884,7.3,335.0
9,-43.136,-22.884,7.3,335.0
9,-43.136,-22.884,7.3,335.0
9,-43.12,-22.882,9.2,325.6
9,-43.118,-22.881,9.2,325.6
10,-43.186,-22.889,4.0,305.9
10,-43.186,-22.888,4.0,305.9
10,-43.188,-22.888,2.0,301.5
10,-43.188,-22.887,2.0,301.5
10,-43.188,-22.888,3.7,313.7
10,-43.188,-22.888,1.4,305.5
10,-43.188,-22.888,1.4,305.5
10,-43.188,-22.888,1.4,305.5
10,-43.174,-22.891,1.4,305.5
11,-43.168,-22.902,3.8,93.0
11,-43.185,-22.888,5.2,92.3
11,-43.186,-22.889,5.2,92.3
11,-43.171,-22.89,6.4,100.0
11,-43.174,-22.89,6.4,100.0
12,-43.141,-23.029,13.6,197.0
12,-43.141,-23.029,13.6,197.0
12,-43.141,-23.029,13.6,197.0
12,-43.148,-23.03,16.5,203.0
12,-43.142,-23.029,13.6,197.0
13,-43.161,-22.854,1.3,108.0
13,-43.143,-22.84,2.0,108.0
13,-43.148,-22.852,2.3,109.0
13,-43.133,-22.848,2.3,109.0
13,-43.135,-22.85,6.1,115.8
13,-43.126,-22.873,2.8,101.0
13,-43.153,-22.874,8.4,121.0
13,-43.134,-22.857,8.4,106.2
14,-43.123,-22.826,2.6,149.9
14,-43.144,-22.838,2.5,149.0
14,-43.144,-22.839,2.5,149.0
14,-43.14,-22.849,1.0,141.0
14,-43.138,-22.843,2.6,158.0
14,-43.132,-22.843,2.3,136.0
14,-43.139,-22.843,1.9,165.0
14,-43.145,-22.842,8.9,160.0
14,-43.146,-22.843,8.9,160.0
14,-43.151,-22.85,9.7,166.0
14,-43.144,-22.847,8.4,156.0
14,-43.151,-22.85,9.7,166.0
14,-43.143,-22.845,5.5,161.0
14,-43.144,-22.833,5.5,161.0
15,-43.179,-22.857,14.8,333.0
15,-43.178,-22.858,14.8,333.0
15,-43.18,-22.855,14.1,340.0
15,-43.184,-22.853,14.1,340.0
15,-43.183,-22.852,15.6,342.0
15,-43.182,-22.853,15.6,342.0
15,-43.18,-22.855,16.1,342.0
16,-43.145,-22.842,8.9,160.0
16,-43.146,-22.843,8.9,160.0
16,-43.161,-22.855,12.3,157.0
16,-43.145,-22.841,11.6,156.0
16,-43.151,-22.85,9.7,166.0
16,-43.144,-22.847,8.4,156.0
16,-43.151,-22.85,9.7,166.0
16,-43.143,-22.845,5.5,161.0
16,-43.144,-22.833,5.5,161.0
16,-43.181,-22.862,10.4,151.0
16,-43.184,-22.853,14.2,160.0
16,-43.184,-22.853,14.2,160.0
16,-43.162,-22.862,12.0,147.0
17,-43.138,-22.891,17.1,117.6
17,-43.121,-22.879,20.4,119.7
17,-43.121,-22.878,20.4,119.7
17,-43.145,-22.909,20.4,119.7
17,-43.148,-22.91,20.7,121.0
18,-43.151,-22.805,7.9,1.0
18,-43.151,-22.805,7.9,1.0
18,-43.153,-22.821,7.3,3.0
18,-43.142,-22.823,9.2,5.3
18,-43.132,-22.842,9.5,0.0
18,-43.152,-22.821,12.1,9.0
18,-43.153,-22.821,12.1,9.0
18,-43.145,-22.84,9.8,4.0
18,-43.143,-22.843,4.7,21.0
18,-43.131,-22.864,4.7,21.0
18,-43.126,-22.837,6.9,21.0
18,-43.126,-22.873,8.5,26.0
18,-43.143,-22.851,8.5,26.0
18,-43.143,-22.851,8.5,26.0
18,-43.144,-22.85,8.5,26.0
18,-43.126,-22.873,7.2,23.0
18,-43.126,-22.873,7.2,23.0
18,-43.141,-22.837,4.8,27.0
18,-43.117,-22.882,2.5,44.0
18,-43.126,-22.873,2.5,44.0
18,-43.121,-22.878,2.5,47.4
18,-43.115,-22.882,1.6,37.0
18,-43.126,-22.873,5.2,39.0
18,-43.148,-22.885,13.1,28.0
18,-43.116,-22.823,4.0,18.5
18,-43.137,-22.836,4.6,13.0
18,-43.137,-22.835,4.6,13.0
18,-43.136,-22.835,4.6,13.0
18,-43.138,-22.843,2.1,14.0
18,-43.133,-22.848,5.6,13.0
18,-43.133,-22.844,4.6,5.0
18,-43.135,-22.849,9.2,5.0
18,-43.134,-22.847,9.2,5.0
18,-43.127,-22.837,3.5,8.0
18,-43.153,-22.822,3.8,9.7
18,-43.138,-22.854,1.7,30.0
18,-43.138,-22.884,9.3,12.8
18,-43.126,-22.873,1.2,30.0
18,-43.116,-22.82,7.2,45.0
18,-43.118,-22.821,7.2,45.0
18,-43.125,-22.835,8.0,38.0
18,-43.128,-22.827,8.0,38.0
18,-43.139,-22.848,8.6,44.0
18,-43.138,-22.848,8.6,44.0
18,-43.142,-22.85,6.4,47.0
18,-43.147,-22.849,5.2,39.0
18,-43.144,-22.839,11.2,43.0
18,-43.162,-22.852,1.3,4.0
18,-43.131,-22.864,12.4,37.0
18,-43.155,-22.871,9.1,4.0
18,-43.162,-22.853,1.3,4.0
18,-43.163,-22.856,5.8,1.0
18,-43.163,-22.855,5.8,1.0
18,-43.154,-22.879,8.5,9.5
18,-43.181,-22.86,9.4,10.0
18,-43.165,-22.859,9.4,10.0
18,-43.142,-22.837,10.7,54.0
18,-43.176,-22.855,11.0,0.0
18,-43.176,-22.855,11.0,0.0
18,-43.171,-22.903,5.3,51.6
18,-43.163,-22.897,3.9,46.9
18,-43.172,-22.902,2.5,45.0
18,-43.17,-22.902,5.7,44.5
18,-43.161,-22.886,1.4,52.7
18,-43.149,-22.883,9.0,52.0
18,-43.149,-22.884,10.2,54.0
18,-43.136,-22.826,9.2,56.0
18,-43.151,-22.805,9.2,56.0
18,-43.151,-22.805,9.2,56.0
18,-43.15,-22.85,10.0,50.0
18,-43.152,-22.837,12.3,64.0
18,-43.172,-22.903,9.2,75.3
18,-43.151,-22.887,10.0,66.0
18,-43.171,-22.903,9.2,75.3
18,-43.171,-22.902,12.3,82.3
18,-43.183,-22.895,10.8,76.0
18,-43.169,-22.902,8.2,74.5
18,-43.146,-22.897,12.7,79.4
18,-43.148,-22.895,12.3,70.6
18,-43.16,-22.901,13.0,74.9
18,-43.171,-22.903,7.4,77.0
18,-43.16,-22.9,10.1,74.2
18,-43.125,-22.894,9.2,75.3
18,-43.125,-22.894,9.2,75.3
18,-43.132,-22.895,13.2,71.3
18,-43.134,-22.895,10.3,71.0
18,-43.128,-22.893,9.1,58.1
18,-43.135,-22.877,7.9,63.3
18,-43.13,-22.875,6.6,56.7
18,-43.126,-22.894,5.6,73.6
18,-43.157,-22.864,6.6,66.0
18,-43.146,-22.886,7.2,79.0
18,-43.146,-22.886,7.2,79.0
18,-43.122,-22.878,6.7,83.6
18,-43.126,-22.894,12.6,84.8
18,-43.136,-22.895,10.6,82.2
18,-43.121,-22.879,13.0,74.9
18,-43.141,-22.896,11.7,81.3
18,-43.133,-22.894,10.3,78.1
18,-43.121,-22.878,3.1,86.4
18,-43.12,-22.882,2.6,86.9
18,-43.138,-22.877,9.6,89.6
18,-43.121,-22.878,8.2,92.0
18,-43.121,-22.878,17.3,75.3
18,-43.149,-22.882,13.1,54.0
18,-43.153,-22.881,1.6,36.6
18,-43.112,-22.87,6.6,56.7
18,-43.12,-22.882,8.6,6.4
18,-43.131,-22.864,6.6,66.0
18,-43.125,-22.893,1.7,65.2
18,-43.13,-22.893,1.7,65.2
18,-43.152,-22.855,16.6,30.7
18,-43.167,-22.901,3.9,62.5
18,-43.128,-22.877,3.8,9.7
18,-43.12,-22.88,1.2,65.0
18,-43.177,-22.891,2.5,72.0
18,-43.186,-22.889,7.9,63.3
18,-43.17,-22.903,1.4,67.5
18,-43.136,-22.878,18.0,45.5
18,-43.121,-22.878,18.0,45.5
18,-43.121,-22.878,18.0,45.5
18,-43.182,-22.853,10.0,66.0
18,-43.182,-22.854,10.0,66.0
18,-43.125,-22.894,1.6,24.7
19,-43.163,-22.895,20.3,101.4
19,-43.162,-22.901,20.3,101.4
19,-43.17,-22.903,20.3,101.4
19,-43.171,-22.903,20.4,119.7
19,-43.183,-22.882,16.0,111.3
